{ group = 0, type = 3, id = 67, propability = 1, count = 20000 },
{ group = 0, type = 0, id = 1156, propability = 1, count = 8 },
{ group = 0, type = 0, id = 1093, propability = 1, count = 50 },
{ group = 0, type = 0, id = 1094, propability = 1, count = 10 },
{ group = 0, type = 0, id = 1290, propability = 1, count = 3 },
{ group = 1, type = 0, id = 94, propability = 5556, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 224, propability = 98706, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 225, propability = 98928, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 256, propability = 98987, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 257, propability = 99046, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 258, propability = 99105, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 259, propability = 99164, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 260, propability = 99223, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 261, propability = 99282, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 265, propability = 99341, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 266, propability = 99400, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 267, propability = 99459, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 268, propability = 99518, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 269, propability = 99577, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 270, propability = 99636, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 274, propability = 99695, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 275, propability = 99754, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 276, propability = 99813, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 277, propability = 99872, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 278, propability = 99931, count = 1, growLv = 0, growLvMax = 1000 },
{ group = 4, type = 0, id = 279, propability = 100000, count = 1, growLv = 0, growLvMax = 1000 },
